user_id,movie_id,rating
1,1742,2
1,1110,2
1,930,4
1,1016,2
1,1040,2
1,2378,1
1,2923,3
1,1046,2
1,1664,4
1,832,3
1,1707,3
1,31,2
1,1514,4
1,1139,1
1,858,3
1,1814,2
1,1082,3
1,1961,2
1,1086,2
1,905,2
2,315,4
2,520,3
2,269,3
2,38,5
2,521,3
2,263,3
2,608,4
2,522,3
2,305,3
2,267,4
2,523,5
2,568,4
2,423,2
2,525,5
2,286,1
2,544,3
2,281,4
2,526,3
2,284,2
2,101,4
2,495,5
2,316,4
2,428,4
2,50,3
2,407,3
2,404,4
2,49,4
2,433,3
2,59,3
2,445,3
2,448,4
2,362,3
2,358,2
2,347,3
2,455,4
2,456,4
2,462,4
2,342,3
2,337,3
2,336,3
2,335,2
2,473,4
2,332,3
2,46,4
2,329,3
2,482,4
2,484,3
2,323,3
2,494,3
2,322,3
2,496,3
2,519,5
2,246,4
2,524,5
2,185,3
2,208,3
2,124,3
2,199,3
2,197,1
2,196,5
2,130,5
2,17,5
2,245,3
2,165,3
2,164,3
2,10,4
2,133,4
2,148,3
2,145,3
2,141,3
2,221,3
2,226,4
2,417,4
2,234,4
2,238,5
2,239,5
3,522,3
3,321,2
3,2286,4
3,1024,3
3,1117,4
3,5884,3
3,6359,3
3,1454,4
3,2372,5
3,2009,3
3,4601,3
3,6532,4
3,698,3
3,6888,3
3,7699,4
3,220,3
3,2272,4
3,989,4
3,4078,3
3,342,2
3,267,4
3,5113,3
3,2211,3
3,1589,4
3,2155,3
3,3155,5
3,5014,2
3,2161,3
3,2172,3
3,322,5
3,525,3
3,473,3
3,617,3
3,953,5
3,2597,3
3,101,4
3,528,2
3,57,3
3,641,4
3,4252,3
3,5469,3
3,240,3
3,1252,3
3,2802,4
3,285,5
3,1358,4
3,965,3
3,6575,4
3,1833,4
3,526,3
3,5464,3
4,730,4
4,1810,5
4,1664,4
4,1661,5
4,1659,5
4,1110,4
4,961,5
4,965,5
4,1653,4
4,993,5
4,1113,4
4,1650,5
4,1646,5
4,1645,5
4,428,5
4,1644,5
4,1655,5
4,1793,5
4,1674,5
4,1673,5
4,1111,3
4,1727,5
4,969,5
4,10,4
4,1715,5
4,974,5
4,1743,5
4,723,5
4,996,5
4,1701,5
4,1700,4
4,911,5
4,975,5
4,1698,4
4,903,5
4,977,5
4,980,5
4,1697,5
4,968,5
4,984,5
4,1683,4
4,1775,4
4,1742,3
4,1788,3
4,901,5
4,1668,5
4,1125,4
4,1012,4
4,1639,5
4,1038,4
4,522,5
4,1479,4
4,1119,5
4,1087,5
4,956,5
4,523,5
4,1435,5
4,1405,1
4,524,3
4,1041,5
4,1044,5
4,1050,4
4,951,5
4,1480,2
4,33,5
4,527,5
4,952,5
4,1330,5
4,1321,4
4,529,5
4,538,4
4,1252,5
4,544,5
4,1059,4
4,1233,3
4,953,5
4,1076,4
4,1078,5
4,1133,5
4,1124,5
4,1640,4
4,1035,5
4,733,5
4,694,5
4,1637,5
4,1010,5
4,1623,5
4,1614,3
4,1606,5
4,1594,4
4,1593,4
4,1011,5
4,1582,4
4,1581,4
4,1018,5
4,1023,5
4,1579,5
4,1031,5
4,1575,4
4,1566,5
4,1564,2
4,1563,3
4,1561,5
4,954,5
4,1115,3
4,1555,5
4,739,5
4,1529,5
4,1528,3
4,1522,5
4,1515,5
4,1514,5
4,1116,3
4,486,5
4,1099,4
4,1669,3
4,1858,4
4,2441,5
4,2440,4
4,2435,5
4,2420,3
4,295,3
4,2400,5
4,2396,5
4,2395,3
4,2378,5
4,2338,5
4,2336,4
4,2327,1
4,2326,2
4,2456,5
4,315,5
4,2299,5
4,879,5
4,2294,3
4,322,5
4,2260,3
4,2247,5
4,2240,5
4,2238,4
4,2234,5
4,2231,5
4,323,5
4,2217,1
4,329,5
4,2303,5
4,2466,4
4,413,4
4,2491,4
4,133,4
4,153,3
4,831,5
4,3206,2
4,833,5
4,834,5
4,164,3
4,835,5
4,836,5
4,825,5
4,839,5
4,123,5
4,819,4
4,233,5
4,814,4
4,103,5
4,260,4
4,865,5
4,2619,5
4,2617,3
4,267,5
4,2609,4
4,2605,5
4,2579,4
4,869,5
4,2578,2
4,2546,4
4,2498,5
4,2494,4
4,2190,4
4,2179,5
4,963,5
4,385,1
4,1912,4
4,1915,5
4,1972,5
4,2129,3
4,392,4
4,2113,5
4,2043,4
4,345,3
4,2158,4
4,390,4
4,2146,4
4,1880,4
4,887,5
4,362,3
4,1960,5
4,2092,1
4,1918,4
4,332,4
4,2102,5
4,2172,5
4,384,4
4,381,3
5,3000,3
5,825,4
5,390,4
5,4028,3
5,2717,4
5,130,4
5,1389,4
5,3111,4
5,651,3
5,4048,4
5,4662,4
5,838,5
5,1358,4
5,1392,4
5,204,3
5,1335,4
5,4414,4
5,1130,3
5,1933,4
5,4872,4
5,5469,4
5,1198,4
5,1059,4
5,2003,3
5,4318,3
5,3508,4
5,1233,3
5,5464,3
5,2551,3
5,4756,2
5,6158,4
5,3868,4
5,6286,4
5,123,4
5,530,5
5,5408,4
5,4259,4
5,5390,4
5,2504,3
5,448,4
5,4252,3
5,6186,4
5,528,4
5,3694,3
5,2405,3
5,1000,4
5,4509,3
5,976,2
5,3213,4
5,1558,3
5,3,4
5,723,3
5,2155,4
5,5967,4
5,5969,3
5,3842,3
5,1640,5
5,4601,4
5,3416,3
5,1865,3
5,3217,4
5,2217,3
5,3221,3
5,2211,3
5,1584,1
5,6274,4
5,4599,4
5,332,4
5,329,4
5,3224,4
5,739,4
5,2163,4
5,6132,4
5,322,4
5,5963,4
5,1119,5
5,4144,4
5,5475,4
5,950,3
5,3154,3
5,310,3
5,694,2
5,1797,4
5,522,3
5,97,4
5,2338,3
5,2146,4
5,3417,3
5,6285,4
5,38,4
5,6511,4
5,520,4
5,6112,5
5,342,4
5,4078,4
5,1522,4
5,1814,4
5,1529,4
5,1485,4
5,250,4
6,4388,5
6,5520,3
6,5113,4
6,5469,4
6,1038,4
6,2998,1
6,1029,4
6,5384,3
6,1012,4
6,1003,4
6,960,5
6,723,4
6,153,2
6,138,2
6,1101,2
6,4979,3
6,1631,4
6,2643,3
6,2504,4
6,1302,2
6,529,4
6,2024,3
6,1339,2
6,2451,1
6,2061,1
6,3853,1
6,1373,2
6,1448,1
6,1472,3
6,2128,2
6,2316,3
6,2153,4
6,1562,3
6,5014,5
6,1580,4
6,2210,4
6,2179,3
6,2003,3
6,3641,1
6,2025,4
6,5566,4
6,264,5
6,102,4
6,1727,4
7,576,4
7,428,4
7,980,5
7,321,3
7,985,4
7,342,3
7,610,2
7,608,5
7,311,3
7,993,4
7,995,5
7,522,4
7,97,3
7,617,1
7,345,4
7,978,5
7,495,4
7,975,4
7,523,3
7,1114,3
7,329,3
7,965,5
7,479,4
7,332,3
7,323,3
7,484,3
7,1113,4
7,103,4
7,10,3
7,486,4
7,1112,2
7,39,4
7,1111,3
7,131,4
7,322,3
7,1110,3
7,175,2
7,21,3
7,448,3
7,622,5
7,1040,4
7,123,4
7,1041,4
7,1044,3
7,538,3
7,283,2
7,1050,3
7,643,3
7,1054,4
7,31,3
7,233,5
7,1139,5
7,1059,3
7,528,3
7,299,3
7,1096,3
7,1031,3
7,295,3
7,524,4
7,600,3
7,184,3
7,525,3
7,1023,3
7,1131,3
7,618,1
7,33,4
7,1115,3
7,649,2
7,245,3
7,1028,4
7,101,5
7,527,4
7,285,5
7,1142,1
7,1,3
7,952,5
7,865,3
7,954,5
7,901,3
7,915,5
7,744,4
7,905,3
7,911,4
7,887,3
7,839,3
7,870,4
7,953,3
7,869,4
8,3211,4
8,6333,3
8,2272,3
8,488,5
8,694,5
8,2338,5
8,2061,5
8,1018,3
8,1044,4
8,5520,4
8,4843,5
8,6344,3
8,1522,5
8,4096,3
8,101,4
8,4409,3
8,233,3
8,6138,4
8,4601,4
8,1054,3
8,4244,4
8,6082,3
8,3384,4
8,1389,5
8,5014,4
8,952,3
8,974,4
8,6356,3
8,1130,3
8,4840,4
8,4252,3
8,285,5
8,3231,4
8,3509,2
8,2003,5
8,1023,4
8,2286,4
8,1293,5
8,1287,3
8,3800,3
8,953,4
8,1838,4
8,1448,3
8,3218,3
8,4602,3
8,255,2
8,4846,3
8,4144,4
8,6274,3
8,1820,4
